"id","word","type","mood","eg","body"
"114","青翠掩映","环境",,,
"90","人间散客","气质",,"云是人间散客亦是人间难得",
"91","人间清绝","气质",,"人间清绝沅湘路,常笑灵均作许愁，占尽人间清绝事,紫藤香起竹根炉，人间天上俱清绝",
"92","清冷矜贵","气质，声音",,,
"93","咻","拟声",,"长剑咻的一声",
"77","嗤",,,"冷嗤，嗤笑，从鼻子里嗤了一声","嘴"
"94","满脸豪横",,,,"脸"
"95","哼","说",,"冷哼一声",
"2","抿","动",,"抿唇不语","嘴，耳朵，翅膀"
"3","抹","动，量",,"抹眼泪，一抹夕阳","手"
"5","掂","动",,"掂量","手"
"6","高呼","说",,,"嘴"
"7","提","动",,"提挈，提携","手"
"8","抱","动",,"抱着","手"
"10","塞","动",,,"手"
"11","吩咐道","说",,,"嘴"
"12","应声","说",,,"嘴"
"13","感叹","说",,"不由得感叹","嘴"
"14","呐","语气",,,"嘴"
"15","闻言","听",,,"耳朵"
"17","卑微地","形",,,
"9","满脸愁容","形",,,"脸"
"18","跪","动",,,"腿"
"20","冻","感",,"冻的通红",
"21","踹","动",,"一脚狠踹","脚"
"22","暴戾狠辣","性格",,,
"23","肖想","想",,,
"24","大雪纷飞","雪",,,
"26","家徒四壁","穷",,,
"27","缠绵病榻","病",,,
"25","积雪","雪",,"雪积了三指厚",
"29","羞辱","动",,,
"28","无视","动",,,
"30","倾","动",,"身子微倾","身体"
"31","倚","动",,"倚靠","身体"
"32","姿态慵懒","形",,,
"33","拉丝",,,"眸子里缠绵拉丝","眼"
"34","梦",,,"春秋大梦，白日梦个，黄粱一梦",
"36","求","动",,"祈求",
"37","笑","说",,"扬起讥讽的笑",
"38","嫌弃","形",,,
"39","暮气沉沉","形",,,
"40","皲裂","形",,"嘴唇皲裂","嘴"
"41","渗","动",,"渗血",
"42","搀扶","动",,,"手"
"43","扇","动",,,"手"
"44","摔","动",,"摔跤",
"45","猩红的","形",,,"眼"
"46","懵逼地","形",,,
"96","佝偻","形",,,"身体"
"47","拥趸","名",,,
"48","扶额","动","无奈",,
"49","老妪","名",,,
"50","帷帽","帽",,,
"52","衣衫褴褛","穷",,,
"53","骨瘦如柴","穷",,,
"54","揉搓","动",,"双手揉搓着","手"
"56","晶亮",,,,"眼睛"
"57","气若游丝","病",,,
"59","颤",,,"颤着手",
"60","药石无医","病",,,
"61","感激涕零",,,,
"62","束脩",,,,
"63","眼神坚定",,,,"眼"
"58","喘","动",,"喘息，喘着气",
"19","绝美的","外貌",,"冷面绝美的",
"64","翘首以盼",,,,
"65","一脸不耐烦",,,,"脸"
"66","捧","动",,"两只手捧着脸","手"
"67","脸色无波",,,,"脸"
"68","颠沛流离","穷",,,
"16","叹气","说",,"长叹一声，叹息","嘴"
"69","苦口婆心","说",,,
"71","簪缨世家","勋贵",,,
"72","撇了撇嘴",,"不屑",,"嘴"
"73","讳莫如深",,,,"脸"
"74","扯","动词",,"扯出一个笑",
"75","阴翳",,,,"脸"
"76","眯",,,"双眼眯了眯","眼"
"78","喃喃","说",,,
"98","砰","拟声",,,
"80","嘶鸣","动",,"马儿嘶鸣一声",
"81","刨","动",,,
"82","愠怒",,,,
"83","淡淡地","看",,,
"1","睨","动","","睨了一眼，睥睨","眼睛"
"84","清雅而冰冷","声音",,,
"51","杵","动",,"杵着拐杖，一杵拐杖",
